"rank","business_name","review_count","categories","rating","address","price_range","url"
"1","Wicked Sisters Tavern","380","American (Traditional)","4","3845 Falls Rd Hampden","$$","https://www.yelp.com/biz/wicked-sisters-tavern-baltimore?osq=Restaurants"
"2","The Food Market","926","American (New)","4","1017 W 36th St Hampden","$$","https://www.yelp.com/biz/the-food-market-baltimore?osq=Restaurants"
"3","Foraged","56","American (New)","4.5","3520 Chestnut Ave Hampden","","https://www.yelp.com/biz/foraged-baltimore?osq=Restaurants"
"4","Döner Brös","48","Kebab,German","4","3204 St Paul St Charles Village","$$","https://www.yelp.com/biz/d%C3%B6ner-br%C3%B6s-baltimore?osq=Restaurants"
"5","Kong Pocha","35","Korean,Barbeque,Asian Fusion","4","12 W 20th St Charles North","","https://www.yelp.com/biz/kong-pocha-baltimore-2?osq=Restaurants"
"6","Gertrude’s","361","American (New),Breakfast &amp; Brunch,Venues &amp; Event Spaces","4","10 Art Museum Dr Johns Hopkins Homewood","$$","https://www.yelp.com/biz/gertrudes-baltimore?osq=Restaurants"
"7","Woodberry Kitchen","2176","Breakfast &amp; Brunch,American (Traditional)","4","2010 Clipper Park Rd Woodberry","$$$","https://www.yelp.com/biz/woodberry-kitchen-baltimore?osq=Restaurants"
"8","Thai Restaurant","136","Thai","4","3316 Greenmount Ave Oakenshaw","$$","https://www.yelp.com/biz/thai-restaurant-baltimore?osq=Restaurants"
"9","Charmed.","34","American (New),Cafes","5","824 N Calvert St Mount Vernon","","https://www.yelp.com/biz/charmed-baltimore?osq=Restaurants"
"10","Clavel","624","Bars,Mexican,Breakfast &amp; Brunch","4.5","225 W 23rd St Remington","$$","https://www.yelp.com/biz/clavel-baltimore?osq=Restaurants"
"11","Puerto 511","347","Peruvian","4.5","102 W Clay St Downtown","$$","https://www.yelp.com/biz/puerto-511-baltimore?osq=Restaurants"
"12","Cypriana of Roland Park","184","Mediterranean,Vegan,Greek","4.5","105 W 39th St Tuscany - Caterbury","$$","https://www.yelp.com/biz/cypriana-of-roland-park-baltimore-2?osq=Restaurants"
"13","Larder","4","Cafes,Bakeries","5","3 W 23rd St Old Goucher","","https://www.yelp.com/biz/larder-baltimore?osq=Restaurants"
"14","Creole Soul Restaurant","2","Cajun/Creole,Soul Food,Southern","5","301 W 29th St Remington","","https://www.yelp.com/biz/creole-soul-restaurant-baltimore-2?osq=Restaurants"
"15","The Brewer’s Art","1003","Breweries,Modern European,Belgian","4","1106 N Charles St Midtown Belvedere","$$","https://www.yelp.com/biz/the-brewers-art-baltimore?osq=Restaurants"
"16","Flip Kitchen","3","Desserts,Waffles","5","1005 N Charles St Midtown Belvedere","","https://www.yelp.com/biz/flip-kitchen-baltimore?osq=Restaurants"
"17","Village Kabab","5","Kebab,Halal,Pakistani","5","407 E 32nd St Abell","","https://www.yelp.com/biz/village-kabab-baltimore?osq=Restaurants"
"18","Mount Vernon Marketplace","207","Food Court","4.5","520 Park Ave Mount Vernon","$$","https://www.yelp.com/biz/mount-vernon-marketplace-baltimore-2?osq=Restaurants"
"19","The Tilted Row","25","American (New),Cocktail Bars,Breakfast &amp; Brunch","4.5","305 McMechen St Bolton Hill","","https://www.yelp.com/biz/the-tilted-row-baltimore?osq=Restaurants"
"20","The Local Fry","380","American (Traditional),Chicken Wings,Korean","4.5","711 W 40th St Hampden","$$","https://www.yelp.com/biz/the-local-fry-baltimore-6?osq=Restaurants"
"21","Khepera’s Kitchen","26","Breakfast &amp; Brunch,Cooking Classes,Personal Chefs","5","418 E 31st St Abell","$$","https://www.yelp.com/biz/kheperas-kitchen-baltimore?osq=Restaurants"
"22","Tamber’s Nifty Fifties Dining","140","Indian,Breakfast &amp; Brunch,American (Traditional)","4","3327 St Paul St Charles Village","$$","https://www.yelp.com/biz/tambers-nifty-fifties-dining-baltimore?osq=Restaurants"
"23","The Alexander Brown Restaurant","66","Bars,American (Traditional)","4.5","135 E Baltimore St Downtown","","https://www.yelp.com/biz/the-alexander-brown-restaurant-baltimore?osq=Restaurants"
"24","Jong Kak","275","Korean,Barbeque","4","18 W 20th St Charles North","$$","https://www.yelp.com/biz/jong-kak-baltimore-3?osq=Restaurants"
"25","Tapas Teatro","285","Tapas Bars,Spanish","4","1711 N Charles St Charles North","$$","https://www.yelp.com/biz/tapas-teatro-baltimore-2?osq=Restaurants"
"26","Texas Chicken &amp; Grill","13","American (Traditional),Chicken Wings,Breakfast &amp; Brunch","4.5","3300 Greenmount Ave Oakenshaw","","https://www.yelp.com/biz/texas-chicken-and-grill-baltimore?osq=Restaurants"
"27","R. House","448","Bars,Tacos,Sandwiches","4","301 W 29th St Remington","$$","https://www.yelp.com/biz/r-house-baltimore?osq=Restaurants"
"28","honeygrow","98","Salad,Noodles,Vegetarian","3.5","3212 St Paul St Charles Village","$$","https://www.yelp.com/biz/honeygrow-baltimore?osq=Restaurants"
"29","Orto","46","Italian,Desserts,Pasta Shops","4.5","1709 N Charles St Charles North","","https://www.yelp.com/biz/orto-baltimore?osq=Restaurants"
"30","T-Swirl Crepe","81","Creperies,Desserts,Gluten-Free","4.5","3113 Saint Paul St Charles Village","$","https://www.yelp.com/biz/t-swirl-crepe-baltimore?osq=Restaurants"
